Chr	Start	End	Peak.ID	Peak.Label	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
chr2	180257226	180260082	Htt_PeakRegion_01341	WT-specific	NA	TTS (ENSMUST00000059080)	-TTS (ENSMUST00000059080)	1118	ENSMUST00000175086	ENSMUSG00000092827	ENSMUST00000175086	NA	ENSMUSG00000092827	Mir3091	NA	microRNA 3091 [Source:MGI Symbol;Acc:MGI:4834305]	miRNA
chr2	180267502	180267824	Htt_PeakRegion_01342	WT-specific	NA	intron (ENSMUST00000136706, intron 1 of 6)	-intron (ENSMUST00000108891, intron 1 of 9)	5783	ENSMUST00000135301	ENSMUSG00000038990	ENSMUST00000141067	NA	ENSMUSG00000038990	Cables2	NA	CDK5 and Abl enzyme substrate 2 [Source:MGI Symbol;Acc:MGI:2182335]	protein_coding
chr2	180587550	180588567	Htt_PeakRegion_01343	WT-specific	NA	Intergenic	Intergenic	-1186	ENSMUST00000029087	ENSMUSG00000049401	ENSMUST00000029087	NA	ENSMUSG00000049401	Ogfr	NA	opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325]	protein_coding
chr2	180590277	180590607	Htt_PeakRegion_01344	WT-specific	NA	intron (ENSMUST00000147070, intron 1 of 5)	-intron (ENSMUST00000029087, intron 1 of 6)	980	ENSMUST00000147070	ENSMUSG00000049401	ENSMUST00000029087	NA	ENSMUSG00000049401	Ogfr	NA	opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325]	protein_coding
chr2	180638767	180638984	Htt_PeakRegion_01345	WT-specific	NA	intron (ENSMUST00000131881, intron 3 of 3)	-intron (ENSMUST00000037877, intron 3 of 5)	3471	ENSMUST00000131881	ENSMUSG00000038932	ENSMUST00000131881	NA	ENSMUSG00000038932	Tcfl5	NA	transcription factor-like 5 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:2672878]	protein_coding
chr2	180742512	180742704	Htt_PeakRegion_01347	WT-specific	NA	TTS (ENSMUST00000094218)	-TTS (ENSMUST00000094218)	4334	ENSMUST00000140955	ENSMUSG00000023393	ENSMUST00000140955	NA	ENSMUSG00000023393	Slc17a9	NA	solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]	protein_coding
chr2	181068968	181070130	Htt_PeakRegion_01350	mHTT-specific	NA	Intergenic	Intergenic	25872	ENSMUST00000152099	ENSMUSG00000016346	ENSMUST00000081528	NA	ENSMUSG00000016346	Kcnq2	NA	potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]	protein_coding
chr2	181140720	181142205	Htt_PeakRegion_01351	WT-specific	NA	Intergenic	Intergenic	-6172	ENSMUST00000016491	ENSMUSG00000016346	ENSMUST00000081528	NA	ENSMUSG00000016346	Kcnq2	NA	potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]	protein_coding
chr2	181142958	181147621	Htt_PeakRegion_01352	WT-specific	NA	Intergenic	Intergenic	-9999	ENSMUST00000016491	ENSMUSG00000016346	ENSMUST00000081528	NA	ENSMUSG00000016346	Kcnq2	NA	potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]	protein_coding
chr2	181156671	181157131	Htt_PeakRegion_01353	WT-specific	NA	exon (ENSMUST00000055990, exon 1 of 8)	-exon (ENSMUST00000055990, exon 1 of 8)	113	ENSMUST00000055990	ENSMUSG00000016349	ENSMUST00000055990	NA	ENSMUSG00000016349	Eef1a2	NA	eukaryotic translation elongation factor 1 alpha 2 [Source:MGI Symbol;Acc:MGI:1096317]	protein_coding
chr2	181337322	181338030	Htt_PeakRegion_01355	WT-specific	NA	intron (ENSMUST00000148252, intron 4 of 27)	-intron (ENSMUST00000048608, intron 10 of 32)	-1435	ENSMUST00000126842	ENSMUSG00000038685	ENSMUST00000153112	NA	ENSMUSG00000038685	Rtel1	NA	regulator of telomere elongation helicase 1 [Source:MGI Symbol;Acc:MGI:2139369]	protein_coding
chr2	181515361	181520484	Htt_PeakRegion_01358	WT-specific	NA	TTS (ENSMUST00000000844)	-TTS (ENSMUST00000000844)	-2562	ENSMUST00000072334	ENSMUSG00000000826	ENSMUST00000108796	NA	ENSMUSG00000000826	Dnajc5	NA	DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]	protein_coding
chr2	181555827	181559014	Htt_PeakRegion_01361	WT-specific	NA	Intergenic	Intergenic	8095	ENSMUST00000141523	ENSMUSG00000000826	ENSMUST00000108796	NA	ENSMUSG00000000826	Dnajc5	NA	DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]	protein_coding
chr2	181917652	181917893	Htt_PeakRegion_01364	mHTT-specific	NA	Intergenic	Intergenic	20950	ENSMUST00000119395	ENSMUSG00000083397	ENSMUST00000119395	NA	ENSMUSG00000083397	Gm5466	NA	predicted gene 5466 [Source:MGI Symbol;Acc:MGI:3647828]	processed_pseudogene
chr3	6141372	6141408	Htt_PeakRegion_01366	mHTT-specific	NA	Intergenic	Intergenic	-3146	ENSMUST00000192818	ENSMUSG00000103848	ENSMUST00000192818	NA	ENSMUSG00000103848	Gm17934	NA	predicted gene, 17934 [Source:MGI Symbol;Acc:MGI:5010119]	processed_pseudogene
chr3	8246289	8246423	Htt_PeakRegion_01368	mHTT-specific	NA	Intergenic	Intergenic	32024	ENSMUST00000195642	ENSMUSG00000103725	ENSMUST00000195642	NA	ENSMUSG00000103725	Gm7103	NA	predicted gene 7103 [Source:MGI Symbol;Acc:MGI:3646860]	processed_pseudogene
chr3	9773502	9774702	Htt_PeakRegion_01371	WT-specific	NA	intron (ENSMUST00000160368, intron 1 of 1)	-intron (ENSMUST00000108384, intron 1 of 7)	16495	ENSMUST00000160368	ENSMUSG00000089794	ENSMUST00000160368	NA	ENSMUSG00000089794	Gm16337	NA	predicted gene 16337 [Source:MGI Symbol;Acc:MGI:3840131]	lincRNA
chr3	10250590	10250738	Htt_PeakRegion_01372	WT-specific	NA	intron (ENSMUST00000172126, intron 2 of 4)	-intron (ENSMUST00000029043, intron 3 of 5)	3561	ENSMUST00000172126	ENSMUSG00000027530	ENSMUST00000119761	NA	ENSMUSG00000027530	Fabp12	NA	fatty acid binding protein 12 [Source:MGI Symbol;Acc:MGI:1922747]	protein_coding
chr3	11007934	11008322	Htt_PeakRegion_01374	WT-specific	NA	TTS (ENSMUST00000195041)	-TTS (ENSMUST00000195041)	1475	ENSMUST00000195041	ENSMUSG00000103323	ENSMUST00000195041	NA	ENSMUSG00000103323	Gm21631	NA	predicted gene, 21631 [Source:MGI Symbol;Acc:MGI:5434986]	processed_pseudogene
chr3	16001630	16001645	Htt_PeakRegion_01380	mHTT-specific	NA	intron (ENSMUST00000194367, intron 1 of 4)	-intron (ENSMUST00000108347, intron 1 of 3)	4694	ENSMUST00000108347	ENSMUSG00000078780	ENSMUST00000108347	NA	ENSMUSG00000078780	Gm5150	NA	predicted gene 5150 [Source:MGI Symbol;Acc:MGI:3779469]	protein_coding
chr3	16192980	16193655	Htt_PeakRegion_01381	WT-specific	NA	intron (ENSMUST00000193598, intron 5 of 5)	-intron (ENSMUST00000108345, intron 3 of 4)	10082	ENSMUST00000193598	ENSMUSG00000047213	ENSMUST00000108345	NA	ENSMUSG00000047213	Ythdf3	NA	YTH N6-methyladenosine RNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1918850]	protein_coding
chr3	17782186	17782323	Htt_PeakRegion_01383	WT-specific	NA	Intergenic	Intergenic	-7666	ENSMUST00000188983	ENSMUSG00000100252	ENSMUST00000189754	NA	ENSMUSG00000100252	Mir124-2hg	NA	Mir124-2 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:1917691]	lincRNA
chr3	21043242	21043383	Htt_PeakRegion_01391	WT-specific	NA	Intergenic	Intergenic	-6252	ENSMUST00000117148	ENSMUSG00000039617	ENSMUST00000117148	NA	ENSMUSG00000039617	Gm7488	NA	predicted gene 7488 [Source:MGI Symbol;Acc:MGI:3647006]	processed_pseudogene
chr3	24423689	24423720	Htt_PeakRegion_01395	mHTT-specific	NA	Intergenic	Intergenic	90637	ENSMUST00000077389	ENSMUSG00000057036	ENSMUST00000077389	NA	ENSMUSG00000057036	Gm7536	NA	predicted gene 7536 [Source:MGI Symbol;Acc:MGI:3645137]	processed_pseudogene
chr3	25680459	25680861	Htt_PeakRegion_01399	WT-specific	NA	intron (ENSMUST00000193603, intron 5 of 7)	-intron (ENSMUST00000075054, intron 3 of 5)	19643	ENSMUST00000193993	ENSMUSG00000102397	ENSMUST00000193993	NA	ENSMUSG00000102397	Gm37573	NA	predicted gene, 37573 [Source:MGI Symbol;Acc:MGI:5610801]	sense_intronic
chr3	25974837	25974987	Htt_PeakRegion_01403	WT-specific	NA	intron (ENSMUST00000193603, intron 3 of 7)	-intron (ENSMUST00000075054, intron 1 of 5)	158822	ENSMUST00000108308	ENSMUSG00000063887	ENSMUST00000192774	NA	ENSMUSG00000063887	Nlgn1	NA	neuroligin 1 [Source:MGI Symbol;Acc:MGI:2179435]	protein_coding
chr3	26141233	26141521	Htt_PeakRegion_01404	WT-specific	NA	intron (ENSMUST00000193603, intron 2 of 7)	-intron (ENSMUST00000191835, intron 1 of 5)	-7643	ENSMUST00000075054	ENSMUSG00000063887	ENSMUST00000192774	NA	ENSMUSG00000063887	Nlgn1	NA	neuroligin 1 [Source:MGI Symbol;Acc:MGI:2179435]	protein_coding
chr3	26295492	26295526	Htt_PeakRegion_01405	WT-specific	NA	intron (ENSMUST00000193603, intron 1 of 7)	-intron (ENSMUST00000192774, intron 1 of 2)	-35641	ENSMUST00000099182	ENSMUSG00000074664	ENSMUST00000099182	NA	ENSMUSG00000074664	A830092H15Rik	NA	RIKEN cDNA A830092H15 gene [Source:MGI Symbol;Acc:MGI:3698881]	antisense
chr3	28118206	28118654	Htt_PeakRegion_01409	mHTT-specific	NA	intron (ENSMUST00000148827, intron 17 of 21)	-intron (ENSMUST00000067757, intron 22 of 25)	8671	ENSMUST00000126594	ENSMUSG00000027695	ENSMUST00000067757	NA	ENSMUSG00000027695	Pld1	NA	phospholipase D1 [Source:MGI Symbol;Acc:MGI:109585]	protein_coding
chr3	28291331	28291550	Htt_PeakRegion_01410	WT-specific	NA	intron (ENSMUST00000162777, intron 1 of 30)	-intron (ENSMUST00000159236, intron 1 of 30)	27798	ENSMUST00000160518	ENSMUSG00000027692	ENSMUST00000161964	NA	ENSMUSG00000027692	Tnik	NA	TRAF2 and NCK interacting kinase [Source:MGI Symbol;Acc:MGI:1916264]	protein_coding
chr3	28373115	28373538	Htt_PeakRegion_01412	WT-specific	NA	intron (ENSMUST00000162777, intron 2 of 30)	-intron (ENSMUST00000159236, intron 2 of 30)	-36104	ENSMUST00000161423	ENSMUSG00000027692	ENSMUST00000161964	NA	ENSMUSG00000027692	Tnik	NA	TRAF2 and NCK interacting kinase [Source:MGI Symbol;Acc:MGI:1916264]	protein_coding
chr3	28466580	28467635	Htt_PeakRegion_01413	WT-specific	NA	intron (ENSMUST00000161423, intron 1 of 12)	-intron (ENSMUST00000159236, intron 2 of 30)	47165	ENSMUST00000175249	ENSMUSG00000092990	ENSMUST00000175249	NA	ENSMUSG00000092990	Mir466q	NA	microRNA 466q [Source:MGI Symbol;Acc:MGI:4950412]	miRNA
chr3	28504045	28504130	Htt_PeakRegion_01414	mHTT-specific	NA	intron (ENSMUST00000162777, intron 3 of 30)	-intron (ENSMUST00000159236, intron 3 of 30)	-34190	ENSMUST00000193721	ENSMUSG00000027692	ENSMUST00000161964	NA	ENSMUSG00000027692	Tnik	NA	TRAF2 and NCK interacting kinase [Source:MGI Symbol;Acc:MGI:1916264]	protein_coding
chr3	30907611	30908000	Htt_PeakRegion_01418	WT-specific	NA	intron (ENSMUST00000177992, intron 13 of 13)	-intron (ENSMUST00000046624, intron 15 of 16)	25305	ENSMUST00000124472	ENSMUSG00000037652	ENSMUST00000168645	NA	ENSMUSG00000037652	Phc3	NA	polyhomeotic 3 [Source:MGI Symbol;Acc:MGI:2181434]	protein_coding
chr3	31163588	31164563	Htt_PeakRegion_01420	WT-specific	NA	exon (ENSMUST00000046174, exon 3 of 3)	-exon (ENSMUST00000046174, exon 3 of 3)	14156	ENSMUST00000046174	ENSMUSG00000037625	ENSMUST00000046174	NA	ENSMUSG00000037625	Cldn11	NA	claudin 11 [Source:MGI Symbol;Acc:MGI:106925]	protein_coding
chr3	31213167	31213368	Htt_PeakRegion_01421	WT-specific	NA	intron (ENSMUST00000091259, intron 7 of 7)	-intron (ENSMUST00000091259, intron 7 of 7)	45126	ENSMUST00000108245	ENSMUSG00000069072	ENSMUST00000091259	NA	ENSMUSG00000069072	Slc7a14	NA	solute carrier family 7 (cationic amino acid transporter, y+ system), member 14 [Source:MGI Symbol;Acc:MGI:3040688]	protein_coding
chr3	31364967	31365124	Htt_PeakRegion_01422	WT-specific	NA	Intergenic	Intergenic	24034	ENSMUST00000193926	ENSMUSG00000103998	ENSMUST00000193926	NA	ENSMUSG00000103998	Gm38025	NA	predicted gene, 38025 [Source:MGI Symbol;Acc:MGI:5611253]	lincRNA
chr3	32525853	32526119	Htt_PeakRegion_01424	mHTT-specific	NA	Intergenic	Intergenic	-3479	ENSMUST00000091257	ENSMUSG00000027668	ENSMUST00000147350	NA	ENSMUSG00000027668	Mfn1	NA	mitofusin 1 [Source:MGI Symbol;Acc:MGI:1914664]	protein_coding
chr3	34053547	34054039	Htt_PeakRegion_01427	WT-specific	NA	intron (ENSMUST00000167354, intron 9 of 15)	-intron (ENSMUST00000001620, intron 9 of 16)	27395	ENSMUST00000117223	ENSMUSG00000103171	ENSMUST00000117223	NA	ENSMUSG00000103171	NA	NA	NA	NA
chr3	34059545	34060947	Htt_PeakRegion_01428	WT-specific	NA	intron (ENSMUST00000167354, intron 13 of 15)	-intron (ENSMUST00000001620, intron 12 of 16)	20942	ENSMUST00000117223	ENSMUSG00000103171	ENSMUST00000117223	NA	ENSMUSG00000103171	NA	NA	NA	NA
chr3	34061573	34063434	Htt_PeakRegion_01429	WT-specific	NA	intron (ENSMUST00000167354, intron 14 of 15)	-intron (ENSMUST00000001620, intron 13 of 16)	18684	ENSMUST00000117223	ENSMUSG00000103171	ENSMUST00000117223	NA	ENSMUSG00000103171	NA	NA	NA	NA
chr3	34645877	34647988	Htt_PeakRegion_01431	WT-specific	NA	Intergenic	Intergenic	-3072	ENSMUST00000099151	ENSMUSG00000074637	ENSMUST00000099151	NA	ENSMUSG00000074637	Sox2	NA	SRY (sex determining region Y)-box 2 [Source:MGI Symbol;Acc:MGI:98364]	protein_coding
chr3	35049074	35049229	Htt_PeakRegion_01434	mHTT-specific	NA	Intergenic	Intergenic	-126501	ENSMUST00000183357	ENSMUSG00000098862	ENSMUST00000183357	NA	ENSMUSG00000098862	Mir6378	NA	microRNA 6378 [Source:MGI Symbol;Acc:MGI:5531088]	miRNA
chr3	36448101	36448490	Htt_PeakRegion_01438	WT-specific	NA	TTS (ENSMUST00000029266)	-TTS (ENSMUST00000029266)	27228	ENSMUST00000184519	ENSMUSG00000098808	ENSMUST00000184519	NA	ENSMUSG00000098808	Mir7009	NA	microRNA 7009 [Source:MGI Symbol;Acc:MGI:5530854]	miRNA
chr3	36944448	36944510	Htt_PeakRegion_01439	WT-specific	NA	intron (ENSMUST00000152881, intron 27 of 28)	-intron (ENSMUST00000057272, intron 27 of 85)	-1742	ENSMUST00000139219	ENSMUSG00000037270	ENSMUST00000108145	NA	ENSMUSG00000037270	4932438A13Rik	NA	RIKEN cDNA 4932438A13 gene [Source:MGI Symbol;Acc:MGI:2444631]	protein_coding
chr3	36959013	36959183	Htt_PeakRegion_01440	WT-specific	NA	intron (ENSMUST00000152564, intron 34 of 83)	-intron (ENSMUST00000057272, intron 36 of 85)	12877	ENSMUST00000139219	ENSMUSG00000037270	ENSMUST00000108145	NA	ENSMUSG00000037270	4932438A13Rik	NA	RIKEN cDNA 4932438A13 gene [Source:MGI Symbol;Acc:MGI:2444631]	protein_coding
chr3	36996685	36996837	Htt_PeakRegion_01441	WT-specific	NA	intron (ENSMUST00000152564, intron 50 of 83)	-intron (ENSMUST00000057272, intron 52 of 85)	-10425	ENSMUST00000146948	ENSMUSG00000037270	ENSMUST00000108145	NA	ENSMUSG00000037270	4932438A13Rik	NA	RIKEN cDNA 4932438A13 gene [Source:MGI Symbol;Acc:MGI:2444631]	protein_coding
chr3	40773044	40773196	Htt_PeakRegion_01442	WT-specific	NA	intron (ENSMUST00000162743, intron 1 of 2)	-intron (ENSMUST00000077083, intron 12 of 18)	476	ENSMUST00000162743	ENSMUSG00000025757	ENSMUST00000162279	NA	ENSMUSG00000025757	Hspa4l	NA	heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]	protein_coding
chr3	43376861	43377018	Htt_PeakRegion_01444	WT-specific	NA	Intergenic	Intergenic	14997	ENSMUST00000193011	ENSMUSG00000102334	ENSMUST00000193011	NA	ENSMUSG00000102334	Gm18865	NA	predicted gene, 18865 [Source:MGI Symbol;Acc:MGI:5011050]	processed_pseudogene
chr3	45395448	45395621	Htt_PeakRegion_01445	WT-specific	NA	intron (ENSMUST00000195655, intron 4 of 4)	-intron (ENSMUST00000166126, intron 4 of 4)	12902	ENSMUST00000195655	ENSMUSG00000049100	ENSMUST00000171554	NA	ENSMUSG00000049100	Pcdh10	NA	protocadherin 10 [Source:MGI Symbol;Acc:MGI:1338042]	protein_coding
chr3	51253581	51255673	Htt_PeakRegion_01447	WT-specific	NA	TTS (ENSMUST00000062009)	-TTS (ENSMUST00000062009)	5614	ENSMUST00000193909	ENSMUSG00000037174	ENSMUST00000091144	NA	ENSMUSG00000037174	Elf2	NA	E74-like factor 2 [Source:MGI Symbol;Acc:MGI:1916507]	protein_coding
chr3	55451703	55451896	Htt_PeakRegion_01453	WT-specific	NA	intron (ENSMUST00000167204, intron 5 of 6)	-intron (ENSMUST00000054237, intron 5 of 16)	-9958	ENSMUST00000070418	ENSMUSG00000027797	ENSMUST00000054237	NA	ENSMUSG00000027797	Dclk1	NA	doublecortin-like kinase 1 [Source:MGI Symbol;Acc:MGI:1330861]	protein_coding
chr3	55460966	55473664	Htt_PeakRegion_01454	WT-mHTT-shared	NA	exon (ENSMUST00000167204, exon 7 of 7)	-exon (ENSMUST00000167204, exon 7 of 7)	4895	ENSMUST00000179544	ENSMUSG00000094962	ENSMUST00000179544	NA	ENSMUSG00000094962	Gm21954	NA	predicted gene, 21954 [Source:MGI Symbol;Acc:MGI:5439423]	protein_coding
chr3	55985839	55987824	Htt_PeakRegion_01457	WT-specific	NA	intron (ENSMUST00000029374, intron 28 of 57)	-intron (ENSMUST00000029374, intron 28 of 57)	-29919	ENSMUST00000104088	ENSMUSG00000077276	ENSMUST00000104088	NA	ENSMUSG00000077276	Gm22784	NA	predicted gene, 22784 [Source:MGI Symbol;Acc:MGI:5452561]	snoRNA
chr3	55990145	55990418	Htt_PeakRegion_01458	WT-specific	NA	intron (ENSMUST00000029374, intron 27 of 57)	-intron (ENSMUST00000029374, intron 27 of 57)	-33369	ENSMUST00000104088	ENSMUSG00000077276	ENSMUST00000104088	NA	ENSMUSG00000077276	Gm22784	NA	predicted gene, 22784 [Source:MGI Symbol;Acc:MGI:5452561]	snoRNA
chr3	56046935	56047194	Htt_PeakRegion_01459	mHTT-specific	NA	intron (ENSMUST00000029374, intron 10 of 57)	-intron (ENSMUST00000029374, intron 10 of 57)	-90152	ENSMUST00000104088	ENSMUSG00000077276	ENSMUST00000104088	NA	ENSMUSG00000077276	Gm22784	NA	predicted gene, 22784 [Source:MGI Symbol;Acc:MGI:5452561]	snoRNA
chr3	56089856	56090898	Htt_PeakRegion_01460	WT-specific	NA	intron (ENSMUST00000029374, intron 2 of 57)	-intron (ENSMUST00000029374, intron 2 of 57)	93324	ENSMUST00000029374	ENSMUSG00000027799	ENSMUST00000029374	NA	ENSMUSG00000027799	Nbea	NA	neurobeachin [Source:MGI Symbol;Acc:MGI:1347075]	protein_coding
chr3	56170164	56171338	Htt_PeakRegion_01461	WT-specific	NA	intron (ENSMUST00000029374, intron 1 of 57)	-intron (ENSMUST00000029374, intron 1 of 57)	12950	ENSMUST00000029374	ENSMUSG00000027799	ENSMUST00000029374	NA	ENSMUSG00000027799	Nbea	NA	neurobeachin [Source:MGI Symbol;Acc:MGI:1347075]	protein_coding
chr3	56300767	56301202	Htt_PeakRegion_01462	WT-specific	NA	Intergenic	Intergenic	-117284	ENSMUST00000029374	ENSMUSG00000027799	ENSMUST00000029374	NA	ENSMUSG00000027799	Nbea	NA	neurobeachin [Source:MGI Symbol;Acc:MGI:1347075]	protein_coding
chr3	56736949	56737456	Htt_PeakRegion_01463	mHTT-specific	NA	Intergenic	Intergenic	153390	ENSMUST00000099093	ENSMUSG00000074592	ENSMUST00000099093	NA	ENSMUSG00000074592	NA	NA	NA	NA
chr3	57829246	57829574	Htt_PeakRegion_01467	mHTT-specific	NA	intron (ENSMUST00000041826, intron 8 of 9)	-intron (ENSMUST00000041826, intron 8 of 9)	16468	ENSMUST00000122210	ENSMUSG00000027805	ENSMUST00000122210	NA	ENSMUSG00000027805	Pfn2	NA	profilin 2 [Source:MGI Symbol;Acc:MGI:97550]	protein_coding
chr3	58423055	58423096	Htt_PeakRegion_01469	WT-specific	NA	intron (ENSMUST00000099090, intron 1 of 3)	-intron (ENSMUST00000099090, intron 1 of 3)	7387	ENSMUST00000099090	ENSMUSG00000027806	ENSMUST00000099090	NA	ENSMUSG00000027806	Tsc22d2	NA	TSC22 domain family, member 2 [Source:MGI Symbol;Acc:MGI:1919283]	protein_coding
chr3	58588467	58588903	Htt_PeakRegion_01470	WT-specific	NA	exon (ENSMUST00000125815, exon 4 of 4)	-exon (ENSMUST00000125815, exon 4 of 4)	11987	ENSMUST00000125815	ENSMUSG00000075700	ENSMUST00000107924	NA	ENSMUSG00000075700	Selenot	NA	selenoprotein T [Source:MGI Symbol;Acc:MGI:1916477]	protein_coding
chr3	59167298	59167621	Htt_PeakRegion_01472	WT-specific	NA	intron (ENSMUST00000164225, intron 15 of 43)	-intron (ENSMUST00000040325, intron 14 of 42)	12625	ENSMUST00000056898	ENSMUSG00000051431	ENSMUST00000056898	NA	ENSMUSG00000051431	Gpr87	NA	G protein-coupled receptor 87 [Source:MGI Symbol;Acc:MGI:1934133]	protein_coding
chr3	59263527	59263760	Htt_PeakRegion_01473	WT-specific	NA	promoter-TSS (ENSMUST00000050360)	-promoter-TSS (ENSMUST00000050360)	-813	ENSMUST00000050360	ENSMUSG00000036353	ENSMUST00000170388	NA	ENSMUSG00000036353	P2ry12	NA	purinergic receptor P2Y, G-protein coupled 12 [Source:MGI Symbol;Acc:MGI:1918089]	protein_coding
chr3	60579869	60580262	Htt_PeakRegion_01477	WT-specific	NA	intron (ENSMUST00000195077, intron 2 of 3)	-intron (ENSMUST00000099087, intron 2 of 9)	-15575	ENSMUST00000192757	ENSMUSG00000027763	ENSMUST00000193518	NA	ENSMUSG00000027763	Mbnl1	NA	muscleblind like splicing factor 1 [Source:MGI Symbol;Acc:MGI:1928482]	protein_coding
chr3	61328906	61329117	Htt_PeakRegion_01478	mHTT-specific	NA	exon (ENSMUST00000192191, exon 1 of 1)	-exon (ENSMUST00000192191, exon 1 of 1)	181	ENSMUST00000192191	ENSMUSG00000102667	ENSMUST00000192191	NA	ENSMUSG00000102667	Gm19901	NA	predicted gene, 19901 [Source:MGI Symbol;Acc:MGI:5012086]	processed_pseudogene
chr3	62222865	62223965	Htt_PeakRegion_01479	WT-specific	NA	Intergenic	Intergenic	100208	ENSMUST00000195726	ENSMUSG00000103322	ENSMUST00000195726	NA	ENSMUSG00000103322	Gm37404	NA	predicted gene, 37404 [Source:MGI Symbol;Acc:MGI:5610632]	TEC
chr3	65296360	65296819	Htt_PeakRegion_01483	mHTT-specific	NA	promoter-TSS (ENSMUST00000160136)	-promoter-TSS (ENSMUST00000160136)	-824	ENSMUST00000160136	ENSMUSG00000027827	ENSMUST00000159525	NA	ENSMUSG00000027827	Kcnab1	NA	potassium voltage-gated channel, shaker-related subfamily, beta member 1 [Source:MGI Symbol;Acc:MGI:109155]	protein_coding
chr3	65326379	65326547	Htt_PeakRegion_01484	mHTT-specific	NA	intron (ENSMUST00000160137, intron 2 of 3)	-intron (ENSMUST00000049230, intron 8 of 13)	22966	ENSMUST00000160137	ENSMUSG00000090120	ENSMUST00000160137	NA	ENSMUSG00000090120	A730090N16Rik	NA	RIKEN cDNA A730090N16 gene [Source:MGI Symbol;Acc:MGI:2442748]	antisense
chr3	65939462	65939837	Htt_PeakRegion_01486	WT-specific	NA	Intergenic	Intergenic	-5742	ENSMUST00000194475	ENSMUSG00000102566	ENSMUST00000194475	NA	ENSMUSG00000102566	Gm37037	NA	predicted gene, 37037 [Source:MGI Symbol;Acc:MGI:5610265]	processed_pseudogene
chr3	66973996	66978175	Htt_PeakRegion_01487	WT-mHTT-shared	NA	intron (ENSMUST00000195261, intron 2 of 4)	-intron (ENSMUST00000029422, intron 2 of 4)	2361	ENSMUST00000162060	ENSMUSG00000027833	ENSMUST00000195261	NA	ENSMUSG00000027833	Shox2	NA	short stature homeobox 2 [Source:MGI Symbol;Acc:MGI:1201673]	protein_coding
chr3	69538126	69538165	Htt_PeakRegion_01492	WT-specific	NA	intron (ENSMUST00000029355, intron 2 of 3)	-intron (ENSMUST00000029355, intron 2 of 3)	-4286	ENSMUST00000134037	ENSMUSG00000027784	ENSMUST00000134037	NA	ENSMUSG00000027784	Ppm1l	NA	protein phosphatase 1 (formerly 2C)-like [Source:MGI Symbol;Acc:MGI:2139740]	protein_coding
chr3	77721938	77722321	Htt_PeakRegion_01498	mHTT-specific	NA	Intergenic	Intergenic	-17744	ENSMUST00000194247	ENSMUSG00000102872	ENSMUST00000194247	NA	ENSMUSG00000102872	Gm38195	NA	predicted gene, 38195 [Source:MGI Symbol;Acc:MGI:5611423]	TEC
chr3	79060344	79062080	Htt_PeakRegion_01499	WT-specific	NA	Intergenic	Intergenic	81290	ENSMUST00000104299	ENSMUSG00000077487	ENSMUST00000104299	NA	ENSMUSG00000077487	Gm23440	NA	predicted gene, 23440 [Source:MGI Symbol;Acc:MGI:5453217]	snoRNA
chr3	79127153	79127225	Htt_PeakRegion_01503	WT-specific	NA	intron (ENSMUST00000195708, intron 7 of 29)	-intron (ENSMUST00000118100, intron 1 of 23)	17788	ENSMUST00000118100	ENSMUSG00000062232	ENSMUST00000124647	NA	ENSMUSG00000062232	Rapgef2	NA	Rap guanine nucleotide exchange factor (GEF) 2 [Source:MGI Symbol;Acc:MGI:2659071]	protein_coding
chr3	80080520	80080745	Htt_PeakRegion_01506	WT-specific	NA	intron (ENSMUST00000194077, intron 1 of 2)	-intron (ENSMUST00000194077, intron 1 of 2)	8526	ENSMUST00000193232	ENSMUSG00000103193	ENSMUST00000193232	NA	ENSMUSG00000103193	Gm19066	NA	predicted gene, 19066 [Source:MGI Symbol;Acc:MGI:5011251]	processed_pseudogene
chr3	80327104	80327609	Htt_PeakRegion_01507	WT-specific	NA	intron (ENSMUST00000193516, intron 1 of 2)	-intron (ENSMUST00000193516, intron 1 of 2)	7238	ENSMUST00000193516	ENSMUSG00000102379	ENSMUST00000193516	NA	ENSMUSG00000102379	Gm37971	NA	predicted gene, 37971 [Source:MGI Symbol;Acc:MGI:5611199]	lincRNA
